Long name	ID (label in the relationships sheet)	Type of node	LASER Alliance	Notes	6 LASER PILLARS	OPERATIONS (OPS)	PATHWAYS (PTW)	COMMUNITY AND ADMINISTRATOR SUPPORT (CAS)	ASSESSMENT (AST)	CURRICULUM (CUR)	INSTRUCTIONAL MATERIALS SUPPORT (IMS)
Leadership -- elementary science leadership network  for TOSA, Curric Dir, Teachers	1-101-K5DL-Le	CUR	NELA		CUR						
PD -- for instructional materials implementation  for elementary teachers	1-101-K5T-imp	CUR	NELA		CUR						
Instructional Materials Foundational Training	1-105-K5TL-IM	CUR	SCLA		CUR						
ESD 105 STEM Leadership Team	1-105-leadership	OPS	SCLA								
Support for implementing career pathways 	1-112-????-CaPa	OPS	SWLA		OPS						
Collaboration on regional leadership for strategic planning	1-112-DL-SP	OPS	SWLA		OPS						
Direct facilitation of strategic plan development 	1-112-DL-SP	OPS	SWLA		OPS						
Development of K-2 Science curriculum districtwide	1-113-K2C-LS	CUR	MTHLA		CUR						
Teacher PD- 6th grade teachers 	1-114-6T-PD	CUR	OLA		CUR						
Leadership Support - Science Fellows HS	1-114-HSTL-LS	OPS	OLA		OPS						
ClimeTime- Growing Elementary Science K-5 	1-114-K5T-CT	CUR	OLA		CUR						
IM Foundational Professional Learning K-5	1-114-K5T-IMF	CUR	OLA		CUR						
Leadership Support - Science Fellows K-5	1-114-K5TL-LS	OPS	OLA		OPS						
Leadership Support - Science Fellows K-8	1-114-K8TL-LS	OPS	OLA		OPS						
IM OpenSciEd Pilot Project MS	1-114-MST-OSEPD	CUR	OLA		CUR						
leadership development for science coaches --  Puget Sound, K-12	1-121-C-LD	CAS	NSLA and SSLA	include book study, assessement workshops, resources	CAS						
strategic planning with district leaders -- NSLA+SSLA	1-121-DL-SP	CAS	NSLA and SSLA		CAS						
professional development for K-12 science teachers	1-121-K12T-PD	CAS	NSLA and SSLA		CAS						
leadership development for K-12 teacher leaders	1-121-K12TL-LD	CAS	NSLA and SSLA		CAS						
leadership board	1-123-C-LB	OPS	SELA		OPS						
CTE/science cross-credit frameworks	1-171-CTE	OPS	NCLA								
strategic planning with district leaders - NC-LASER	1-171-DL-SP	PTW	NCLA	course pathways 	PTW						
Computer Science Integration into Science and STEM for K-12 educators	1-171-K12Ts-CS	CUR	NCLA		CUR						
leadership development for K-12 educators	1-171-K12T-LD	CUR	NCLA	strategic plan	CUR						
Provide support and PD for NGSS Aligned Curriculum Adoption	1-189-???-CA	CUR	NWLA		CUR						
Teachers in Science Fellows	1-189-??TL-LS	CUR	NWLA		CUR						
NextGen Time	2-all-varies-NGT	CUR	all		CUR				 		
Book Study	2-all-LA-book	CUR	all		CUR						
Aberdeen	Aberdeen	SD	MTHLA								
Adna	Adna	SD	MTHLA								
Communication --LASER advocacy  for OpEd for WashSTEM	all-101-advocacy	advocacy	NELA								
Communication --LASER advocacy  for OpEd for WashSTEM	all-112-advocacy	advocacy	SWLA								
continued advising on theory of action, vision and goals	all-all-LASER-adv	NA	na								
leadership opportunities for LASER leaders in national events	all-all-LASER-lo	NA	na								
Communication --LASER advocacy  for OpEd for WashSTEM	all-NSLA-advocacy	advocacy	NSLA and SSLA								
Almira	Almira	SD	NELA								
Anacortes	Anacortes	SD	NWLA								
Apple STEM Network	Apple	partner	na								
Arlington	Arlington	SD	NWLA								
Asotin-Anatone	Asotin-Anatone	SD	SELA								
Bainbridge Island 	Bainbridge Island	SD	NSLA and SSLA								
Battle Ground	Battle Ground	SD	SWLA								
Bellevue	Bellevue	SD	NSLA and SSLA								
Bellingham	Bellingham	SD	NWLA								
Benge	Benge	SD	NELA								
Terry Bergeson	Bergeson	partner	all								
Bethel	Bethel	SD	NSLA and SSLA								
Bickleton	Bickleton	SD	SCLA								
Blaine	Blaine	SD	NWLA								
Boistfort	Boistfort	SD	MTHLA								
Bremerton	Bremerton	SD	OLA								
Brewster	Brewster	SD	NCLA								
Bridgeport	Bridgeport	SD	NCLA								
Brinnon	Brinnon	SD	OLA								
Burlington-Edison	Burlington-Edison	SD	NWLA								
Camas	Camas	SD	SWLA								
Cape Flattery	Cape Flattery	SD	OLA								
Carbonado	Carbonado	SD	NSLA and SSLA								
CareerConnectSW STEM Network	CareerConnectSW	partner	na								
Cascade	Cascade	SD	NCLA								
Cashmere	Cashmere	SD	NCLA								
Castle Rock	Castle Rock	SD	SWLA								
Centerville	Centerville	SD	SWLA								
Central Kitsap	Central Kitsap	SD	OLA								
Central Valley	Central Valley	SD	NELA								
Centralia	Centralia	SD	MTHLA								
Chehalis	Chehalis	SD	MTHLA								
Cheney	Cheney	SD	NELA								
Chewelah	Chewelah	SD	NELA								
Chimacum	Chimacum	SD	OLA								
Clarkston	Clarkston	SD	SELA								
Cle Elum-Roslyn	Cle Elum-Roslyn	SD	SCLA								
Clover Park	Clover Park	SD	NSLA and SSLA								
Colfax	Colfax	SD	NELA								
College Place	College Place	SD	SELA								
Colton	Colton	SD	NELA								
Columbia (Stevens)	Columbia (Stevens)	SD	NELA								
Columbia (Walla Walla)	Columbia (Walla Walla)	SD	SELA								
Colville	Colville	SD	NELA								
Concrete	Concrete	SD	NWLA								
Conway	Conway	SD	NWLA								
Cosmopolis	Cosmopolis	SD	MTHLA								
Coulee-Hartline	Coulee-Hartline	SD	NCLA								
Coupeville	Coupeville	SD	NWLA								
Crescent	Crescent	SD	OLA								
Creston	Creston	SD	NELA								
Curlew	Curlew	SD	NELA								
Cusick	Cusick	SD	NELA								
Damman	Damman	SD	SCLA								
Darrington	Darrington	SD	NWLA								
Davenport	Davenport	SD	NELA								
Dayton	Dayton	SD	SELA								
Deer Park	Deer Park	SD	NELA								
Dieringer	Dieringer	SD	NSLA and SSLA								
Dixie	Dixie	SD	SELA								
East Valley (Spokane)	East Valley (Spokane)	SD	NELA								
East Valley (Yakima)	East Valley (Yakima)	SD	SCLA								
Eastmont	Eastmont	SD	NCLA								
Easton	Easton	SD	SCLA								
Eatonville	Eatonville	SD	NSLA and SSLA								
Edmonds	Edmonds	SD	NWLA								
Ellensburg	Ellensburg	SD	SCLA								
Elma	Elma	SD	MTHLA								
Endicott	Endicott	SD	NELA								
Entiat	Entiat	SD	NCLA								
Enumclaw	Enumclaw	SD	NSLA and SSLA								
Ephrata	Ephrata	SD	NCLA								
ESD 101	ESD 101	ESD	NELA								
ESD 189	ESD 189	ESD	na								
ESD 121	ESD-121	ESD	NSLA and SSLA								
Evaline	Evaline	SD	MTHLA								
Everett	Everett	SD	NWLA								
Evergreen (Clark)	Evergreen (Clark)	SD	SWLA								
Evergreen (Stevens)	Evergreen (Stevens)	SD	NELA								
Federal Way	Federal Way	SD	NSLA and SSLA								
Ferndale	Ferndale	SD	NWLA								
Fife	Fife	SD	NSLA and SSLA								
Finley	Finley	SD	SELA								
Franklin Pierce	Franklin Pierce	SD	NSLA and SSLA								
Freeman	Freeman	SD	NELA								
Garfield	Garfield	SD	NELA								
Glenwood	Glenwood	SD	SWLA								
Goldendale	Goldendale	SD	SCLA								
Grand Coulee Dam	Grand Coulee Dam	SD	NCLA								
Grandview	Grandview	SD	SCLA								
Granger	Granger	SD	SCLA								
Granite Falls	Granite Falls	SD	NWLA								
Grapeview	Grapeview	SD	MTHLA								
Great Northern	Great Northern	SD	NELA								
Green Mountain	Green Mountain	SD	SWLA								
Griffin	Griffin	SD	MTHLA								
Harrington	Harrington	SD	NELA								
Highland	Highland	SD	SCLA								
Highline	Highline	SD	NSLA and SSLA								
Hockinson	Hockinson	SD	SWLA								
Hood Canal	Hood Canal	SD	MTHLA								
Hoquiam	Hoquiam	SD	MTHLA								
Inchelium	Inchelium	SD	NELA								
Index	Index	SD	NWLA								
ISB	ISB	partner	NSLA and SSLA	Provides STEM pros for PDs							
Issaquah	Issaquah	SD	NSLA and SSLA								
Kahlotus	Kahlotus	SD	SELA								
Kalama	Kalama	SD	SWLA								
Keller	Keller	SD	NELA								
Kelso	Kelso	SD	SWLA								
Kennewick	Kennewick	SD	SELA								
Kent	Kent	SD	NSLA and SSLA								
Kettle Falls	Kettle Falls	SD	NELA								
Kiona-Benton City	Kiona-Benton City	SD	SELA								
Kittitas	Kittitas	SD	SCLA								
Klickitat	Klickitat	SD	SWLA								
La Center	La Center	SD	SWLA								
LaConner	LaConner	SD	NWLA								
LaCrosse	LaCrosse	SD	NELA								
Lake Chelan	Lake Chelan	SD	NCLA								
Lake Quinault	Lake Quinault	SD	MTHLA								
Lake Stevens	Lake Stevens	SD	NWLA								
Lake Washington	Lake Washington	SD	NSLA and SSLA								
Lakewood	Lakewood	SD	NWLA								
Lamont	Lamont	SD	NELA								
Washington LASER	LASER	LASER Alliance	all								
Liberty	Liberty	SD	NELA								
Lind	Lind	SD	NELA								
Longview	Longview	SD	SWLA								
Loon Lake	Loon Lake	SD	NELA								
Lopez Island	Lopez Island	SD	NWLA								
Lummi Nation	Lummi Nation	SD	NWLA								
Lyle	Lyle	SD	SWLA								
Lynden	Lynden	SD	NWLA								
Mabton	Mabton	SD	SCLA								
Mansfield	Mansfield	SD	NCLA								
Manson	Manson	SD	NCLA								
Mary M. Knight	Mary M. Knight	SD	MTHLA								
Mary Walker	Mary Walker	SD	NELA								
Marysville	Marysville	SD	NWLA								
McCleary	McCleary	SD	MTHLA								
Mead	Mead	SD	NELA								
Medical Lake	Medical Lake	SD	NELA								
Mercer Island	Mercer Island	SD	NSLA and SSLA								
Meridian	Meridian	SD	NWLA								
Methow Valley	Methow Valley	SD	NCLA								
Mill A	Mill A	SD	SWLA								
Monroe	Monroe	SD	NWLA								
Montesano	Montesano	SD	MTHLA								
Morton	Morton	SD	MTHLA								
Moses Lake	Moses Lake	SD	NCLA								
Moses Lake	Moses Lake	SD	NCLA								
Moses Lake	Moses Lake	SD	NCLA								
Mossyrock	Mossyrock	SD	MTHLA								
Mount Adams	Mount Adams	SD	SCLA								
Mount Baker	Mount Baker	SD	NWLA								
Mount Pleasant	Mount Pleasant	SD	SWLA								
Mount Vernon	Mount Vernon	SD	NWLA								
Mountain to Harbor LASER Alliance	MTHLA/113	LASER Alliance	MTHLA								
Mukilteo	Mukilteo	SD	NWLA								
Naches Valley	Naches Valley	SD	SCLA								
Napavine	Napavine	SD	MTHLA								
Naselle-Grays River Valley	Naselle-Grays River Valley	SD	SWLA								
North Central LASER Alliance	NCLA/171	LASER Alliance	NCLA								
Northeast LASER Alliance	NELA/101	LASER Alliance	NELA								
Nespelem	Nespelem	SD	NCLA								
Newport	Newport	SD	NELA								
Nine Mile Falls	Nine Mile Falls	SD	NELA								
Nooksack Valley	Nooksack Valley	SD	NWLA								
North Beach	North Beach	SD	MTHLA								
North Franklin	North Franklin	SD	SELA								
North Kitsap	North Kitsap	SD	OLA								
North Mason	North Mason	SD	OLA								
North River	North River	SD	MTHLA								
North Thurston	North Thurston	SD	MTHLA								
Northport	Northport	SD	NELA								
Northshore	Northshore	SD	NSLA and SSLA								
North Sound LASER Alliance	NSLA/121	LASER Alliance	NSLA and SSLA								
Northwest LASER Alliance	NWLA/189	LASER Alliance	NWLA								
Oak Harbor	Oak Harbor	SD	NWLA								
Oakesdale	Oakesdale	SD	NELA								
Oakville	Oakville	SD	MTHLA								
Ocean Beach	Ocean Beach	SD	SWLA								
Ocosta	Ocosta	SD	MTHLA								
Odessa	Odessa	SD	NELA								
Okanogan	Okanogan	SD	NCLA								
Olympic LASER Alliance	OLA/114	LASER Alliance	OLA								
Olympia	Olympia	SD	MTHLA								
Omak	Omak	SD	NCLA								
Onalaska	Onalaska	SD	MTHLA								
Onion Creek	Onion Creek	SD	NELA								
Orcas Island	Orcas Island	SD	NWLA								
Orchard Prairie	Orchard Prairie	SD	NELA								
Orient	Orient	SD	NELA								
Orondo	Orondo	SD	NCLA								
Oroville	Oroville	SD	NCLA								
Orting	Orting	SD	NSLA and SSLA								
Office of the Superintendent of Public Instruction	OSPI	government	na								
Othello	Othello	SD	SELA								
Palisades	Palisades	SD	NCLA								
Palouse	Palouse	SD	NELA								
Pasco	Pasco	SD	SELA								
Pateros	Pateros	SD	NCLA								
Paterson	Paterson	SD	SELA								
Pe Ell	Pe Ell	SD	MTHLA								
Peninsula	Peninsula	SD	NSLA and SSLA								
Pioneer	Pioneer	SD	MTHLA								
Pomeroy	Pomeroy	SD	SELA								
Port Angeles	Port Angeles	SD	OLA								
Port Townsend	Port Townsend	SD	OLA								
Prescott	Prescott	SD	SELA								
Prosser	Prosser	SD	SELA								
Pullman	Pullman	SD	NELA								
Puyallup	Puyallup	SD	NSLA and SSLA								
Queets-Clearwater	Queets-Clearwater	SD	OLA								
Quilcene	Quilcene	SD	OLA								
Quillayute Valley	Quillayute Valley	SD	OLA								
Quincy	Quincy	SD	NCLA								
Rainier	Rainier	SD	MTHLA								
Raymond	Raymond	SD	MTHLA								
Reardan-Edwall	Reardan-Edwall	SD	NELA								
Renton	Renton	SD	NSLA and SSLA								
Republic	Republic	SD	NELA								
Richland	Richland	SD	SELA								
Ridgefield	Ridgefield	SD	SWLA								
Ritzville	Ritzville	SD	NELA								
Riverside	Riverside	SD	NELA								
Riverview	Riverview	SD	NSLA and SSLA								
Rochester	Rochester	SD	MTHLA								
Roosevelt	Roosevelt	SD	SWLA								
Rosalia	Rosalia	SD	NELA								
Royal	Royal	SD	SCLA								
San Juan Island	San Juan Island	SD	NWLA								
Satsop	Satsop	SD	MTHLA								
Washington State Board of Education	SBE	government	na								
South Central LASER Alliance	SCLA/105	LASER Alliance	SCLA								
Seattle	Seattle	SD	NSLA and SSLA								
Seattle City Light	Seattle City Light	partner	na								
Sedro-Woolley	Sedro-Woolley	SD	NWLA								
Southeast LASER Alliance	SELA/123	LASER Alliance	SELA								
Selah	Selah	SD	SCLA								
Selkirk	Selkirk	SD	NELA								
Sequim	Sequim	SD	OLA								
Shaw Island	Shaw Island	SD	NWLA								
Shelton	Shelton	SD	MTHLA								
Shoreline	Shoreline	SD	NSLA and SSLA								
Skamania	Skamania	SD	SWLA								
Skykomish	Skykomish	SD	NSLA and SSLA								
Snohomish	Snohomish	SD	NWLA								
Snoqualmie Valley	Snoqualmie Valley	SD	NSLA and SSLA								
Soap Lake	Soap Lake	SD	NCLA								
South Bend	South Bend	SD	MTHLA								
South Central STEM Network	South Central STEM	partner	na								
South Kitsap	South Kitsap	SD	OLA								
South Whidbey	South Whidbey	SD	NWLA								
Southside	Southside	SD	MTHLA								
Spokane	Spokane	SD	NELA								
Sprague	Sprague	SD	NELA								
Smithsonian Science Education Center	SSEC	partner	all								
South Sound LASER Alliance	SSLA/121	LASER Alliance	NSLA and SSLA								
St. John	St. John	SD	NELA								
Stanwood-Camano	Stanwood-Camano	SD	NWLA								
Star	Star	SD	SELA								
Starbuck	Starbuck	SD	SELA								
Stehekin	Stehekin	SD	NCLA								
Steilacoom Historical	Steilacoom Historical	SD	NSLA and SSLA								
Steptoe	Steptoe	SD	NELA								
Stevenson-Carson	Stevenson-Carson	SD	SWLA								
Sultan	Sultan	SD	NWLA								
Summit Valley	Summit Valley	SD	NELA								
Sumner	Sumner	SD	NSLA and SSLA								
Sunnyside	Sunnyside	SD	SCLA								
Southwest LASER Alliance	SWLA/112	LASER Alliance	SWLA								
Tacoma	Tacoma	SD	NSLA and SSLA								
Taholah	Taholah	SD	MTHLA								
Tahoma	Tahoma	SD	NSLA and SSLA								
Central Washington University - Teach STEM	Teach STEM	partner	na								
Tekoa	Tekoa	SD	NELA								
Tenino	Tenino	SD	MTHLA								
Thorp	Thorp	SD	SCLA								
Toledo	Toledo	SD	MTHLA								
Tonasket	Tonasket	SD	NCLA								
Toppenish	Toppenish	SD	SCLA								
Touchet	Touchet	SD	SELA								
Toutle Lake	Toutle Lake	SD	SWLA								
Trout Lake	Trout Lake	SD	SWLA								
Tukwila	Tukwila	SD	NSLA and SSLA								
Tumwater	Tumwater	SD	MTHLA								
Union Gap	Union Gap	SD	SCLA								
University Place	University Place	SD	NSLA and SSLA								
UW Bothell - School of Education	UW Bothell	partner	all								
Valley	Valley	SD	NELA								
Vancouver	Vancouver	SD	SWLA								
Vashon Island	Vashon Island	SD	NSLA and SSLA								
WA State Legislature	WA State Leg.	government	all								
WA STEM	WA STEM	partner	all								
Wahkiakum	Wahkiakum	SD	SWLA								
Wahluke	Wahluke	SD	SCLA								
Waitsburg	Waitsburg	SD	SELA								
Walla Walla	Walla Walla	SD	SELA								
Wapato	Wapato	SD	SCLA								
Warden	Warden	SD	NCLA								
Washougal	Washougal	SD	SWLA								
Washtucna	Washtucna	SD	NELA								
Waterville	Waterville	SD	NCLA								
Wellpinit	Wellpinit	SD	NELA								
Wenatchee	Wenatchee	SD	NCLA								
Wenatchee	Wenatchee	SD	NCLA								
West Valley (Spokane)	West Valley (Spokane)	SD	NELA								
West Valley (Yakima)	West Valley (Yakima)	SD	SCLA								
White Pass	White Pass	SD	MTHLA								
White River	White River	SD	NSLA and SSLA								
White Salmon Valley	White Salmon Valley	SD	SWLA								
Wilbur	Wilbur	SD	NELA								
Willapa Valley	Willapa Valley	SD	MTHLA								
Wilson Creek	Wilson Creek	SD	NCLA								
Winlock	Winlock	SD	MTHLA								
Wishkah Valley	Wishkah Valley	SD	MTHLA								
Wishram	Wishram	SD	SWLA								
Woodland	Woodland	SD	SWLA								
Yakima	Yakima	SD	SCLA								
Yelm	Yelm	SD	MTHLA								
Zillah	Zillah	SD	SCLA								
Chief Leschi	Chief Leschi	SD	NSLA and SSLA								
Diocese Schools	Diocese Schools	SD	NELA								